motif,motif_len,support_total,support_correct,support_incorrect,support_rate,p_correct_given_motif,p_incorrect_given_motif,baseline_correct_rate,baseline_incorrect_rate,delta_correct_vs_baseline,lift_correct,lift_incorrect,log_odds_ratio,indicator_direction,indicator_strength
instantiate transform,2,25,25,0,0.009317927692881103,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.114354036142247,success,0.540439806187104
transform,1,25,25,0,0.009317927692881103,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.114354036142247,success,0.540439806187104
sqrt,1,24,24,0,0.008945210585165859,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.0735215716220035,success,0.540439806187104
add_fractions identify_parameters compute_sum,3,24,24,0,0.008945210585165859,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.0735215716220035,success,0.540439806187104
simplify isolate simplify,3,24,24,0,0.008945210585165859,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.0735215716220035,success,0.540439806187104
multiply,1,24,24,0,0.008945210585165859,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.0735215716220035,success,0.540439806187104
add_fractions identify_parameters,2,24,24,0,0.008945210585165859,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.0735215716220035,success,0.540439806187104
find_common_denominator add_fractions identify_parameters,3,24,24,0,0.008945210585165859,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.0735215716220035,success,0.540439806187104
divide sqrt,2,24,24,0,0.008945210585165859,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.0735215716220035,success,0.540439806187104
sqrt solve,2,22,22,0,0.008199776369735371,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.9867115530751978,success,0.540439806187104
multiply divide sqrt,3,22,22,0,0.008199776369735371,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.9867115530751978,success,0.540439806187104
multiply divide,2,22,22,0,0.008199776369735371,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.9867115530751978,success,0.540439806187104
divide sqrt solve,3,22,22,0,0.008199776369735371,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.9867115530751978,success,0.540439806187104
combine_like_terms find_common_denominator add_fractions,3,21,21,0,0.007827059262020127,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.9404240964433828,success,0.540439806187104
solve instantiate,2,21,21,0,0.007827059262020127,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.9404240964433828,success,0.540439806187104
combine_like_terms find_common_denominator,2,21,21,0,0.007827059262020127,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.9404240964433828,success,0.540439806187104
solve instantiate compute,3,20,20,0,0.007454342154304882,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.8919716450991104,success,0.540439806187104
transform compute,2,20,20,0,0.007454342154304882,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.8919716450991104,success,0.540439806187104
instantiate transform compute,3,19,19,0,0.007081625046589639,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.8411375012488778,success,0.540439806187104
