token,num_sections,keywords
Q18_T01_total_need_count,7,"total, need, count, find, number, value"
Q18_T02_points_grid_number,4,"points, grid, number, columns, rows, square, length, side"
Q18_T03_square_grid_squares,4,"square, grid, squares, times, height, tilted, side, points"
Q18_T04_total_squares_aligned,4,"total, squares, aligned, axis, calculation, count, combine, solve"
Q18_T05_tilted_times_squares,3,"tilted, times, squares, number, bounding, box, total, cells"
Q18_T06_total_number_squares,3,"total, number, squares, given, solve, add, problem, states"
Q18_T07_step_total_counts,2,"step, total, counts, axis, squares, sum"
Q18_T08_aligned_axis_times,2,"aligned, axis, times, squares, length, side, points, count"
Q18_T09_horizontal_positions_count,2,"horizontal, positions, count, number, times, squares"
Q18_T10_parallel_sides_grid,2,"parallel, sides, grid, categorize, squares, axes, lines"
Q18_T11_aligned_vertical_axis,2,"aligned, vertical, axis, side, units, space, points, type"
Q18_T12_span_size_possible,2,"span, size, possible, ranges, positions, unit, units, vertical"
Q18_T13_tilted_there_squares,2,"tilted, there, squares, any, next, other, points, only"
Q18_T14_axis_verification_check,2,"axis, verification, check, small, total, times, aligned, tilted"
Q18_T15_aligned_total_tilted,2,"aligned, total, tilted, axis, times, bounding, size"
Q18_T16_square_positions_can,2,"square, positions, can, column, start, row, side"
Q18_T17_points_grid_intervals,1,"points, grid, intervals, unit, understand, number"
Q18_T18_delta_square_length,1,"delta, square, length, integer, possible, side"
Q18_T19_vector_delta_since,1,"vector, delta, since, span, height, side"
Q18_T20_would_vector_vertical,1,"would, vector, vertical, span, min, max"
Q18_T21_units_general_columns,1,"units, general, columns, number, count, squares"
Q18_T22_total_text_count,1,"total, text, count, squares, times1, formula"
Q18_T23_intervals_which_unit,1,"intervals, which, unit, number, horizontally, recall"
Q18_T24_unit_columns_verification,1,"unit, columns, verification, there, times, squares"
Q18_T25_value,1,value
Q18_T26_has_points_grid,1,"has, points, grid, understand, structure, rows"
Q18_T27_sizes_analyze_grid,1,"sizes, analyze, grid, height, possible, based"
Q18_T28_formula_holds_implies,1,"formula, holds, implies"
Q18_T29_points_grid_height,1,"points, grid, height, number, direction, width"
Q18_T30_analyze_lengths_counts,1,"analyze, lengths, counts, possible, each, side"
Q18_T31_square_points_grid,1,"square, points, grid, vertical, tilted, side"
Q18_T32_bounding_box_point,1,"bounding, box, point, positions, times, side"
Q18_T33_total_tilted_squares,1,"total, tilted, squares"
Q18_T34_correct_aligned_total,1,"correct, aligned, total, tilted, axis, formula"
Q18_T35_calculation_holds_logic,1,"calculation, holds, logic"
Q18_T36_step_total_text,1,"step, total, text, equation, squares, formulate"
