token,num_sections,keywords
Q190_T01_step_first_set,10,"step, first, set, six, numbers, identify"
Q190_T02_probability_outcomes_frac,9,"probability, outcomes, frac, step, text, calculate, ratio, favorable"
Q190_T03_probability_chosen_find,8,"probability, chosen, find, numbers, sum, paul, step"
Q190_T04_even_step_numbers,7,"even, step, numbers, odd, there, classify, count, analyze"
Q190_T05_chooses_total_number,7,"chooses, total, number, one, outcomes, primes, possible, independent"
Q190_T06_even_odd_numbers,7,"even, odd, numbers, sum, both, step, integers"
Q190_T07_number_favorable_outcomes,6,"number, favorable, outcomes, case, ways, has, both, can"
Q190_T08_divide_step_fraction,5,"divide, step, fraction, frac, simplify, div, numerator"
Q190_T09_chosen_even_number,2,"chosen, even, number, sum, step, both, odd, integers"
Q190_T10_total_number_replacement,2,"total, number, replacement, outcomes, each, choose, selection, independent"
Q190_T11_must_number_numbers,2,"must, number, numbers, choose, case, ways, even, odd"
Q190_T12_probability_need_determine,2,"probability, need, determine, problem, numbers, solve"
Q190_T13_even_chooses_number,2,"even, chooses, number, odd, favorable, outcomes, case, pairs"
Q190_T14_probability_even_text,1,"probability, even, text, times, frac, odd"
Q190_T15_even_set_number,1,"even, set, number, primes, odd, integers"
Q190_T16_chooses_step_total,1,"chooses, step, total, number, times, outcomes"
