token,num_sections,keywords
Q232_T01_omega_frac_sum,15,"omega, frac, sum, 1997, dots, 998, evaluate, 1996"
Q232_T02_omega_frac_terms,7,"omega, frac, terms, sum, pair, term, consider, analyze"
Q232_T03_omega_dots_sum,3,"omega, dots, sum, since, set, terms, root, unity"
Q232_T04_omega_frac_1996,3,"omega, frac, 1996, term, terms, roots, sum, number"
Q232_T05_primitive_root_omega,3,"primitive, root, omega, 1997, unity, neq, step"
Q232_T06_omega_term_frac,3,"omega, term, frac, cdot, step, index, neq, pair"
Q232_T07_root_omega_1997,2,"root, omega, 1997, sum, given, condition, primitive, frac"
Q232_T08_since_omega_term,2,"since, omega, term, frac, not, odd, index, corresponding"
Q232_T09_roots_omega_all,2,"roots, omega, all, dots, since, frac, set, unity"
Q232_T10_omega_neq_1997,2,"omega, neq, 1997, frac, step, sum, unity, dots"
Q232_T11_1996_term_frac,1,"1996, term, frac, dots, sum, pairs"
Q232_T12_total_text_underbrace,1,"total, text, underbrace, 998, dots, sum"
Q232_T13_result_same_methods,1,"result, same, methods, pairing, yield, both"
Q232_T14_calculation_998_1997,1,"calculation, 998, 1997, frac, final"
Q232_T15_pair_term_998,1,"pair, term, 998, 1997, frac, pairs"
Q232_T16_omega_1997_where,1,"omega, 1997, where, given, sum, complex"
Q232_T17_total_omega_term,1,"total, omega, term, 1997, frac, sum"
Q232_T18_terms_there_number,1,"terms, there, number, 998, check, such"
