token,num_sections,keywords
Q5_T01_square_yes_prime,11,"square, yes, prime, sqrt, frac, cdot, step, gcd"
Q5_T02_volume_tetrahedron_frac,8,"volume, tetrahedron, frac, box, 105, implies, isosceles, calculate"
Q5_T03_asks_two_question,8,"asks, two, question, sum, values, possible, calculation, final"
Q5_T04_roots_polynomial_2ax,8,"roots, polynomial, 2ax, since, leading, coefficient, implies, integers"
Q5_T05_160_sqrt_frac,7,"160, sqrt, frac, denominator, step, times, cdot, tetrahedron"
Q5_T06_substitute_subtracting_equation,7,"substitute, subtracting, equation, know, second, both, identity, have"
Q5_T07_tetrahedron_find_distance,6,"tetrahedron, find, distance, point, faces, inradius, abcd, frac"
Q5_T08_jon_there_says,6,"jon, there, says, steve, values, possible, two, value"
Q5_T09_case_possible_squares,5,"case, possible, squares, cdot, calculate, 224, 216, 30x"
Q5_T10_less_case_possible,5,"less, case, possible, squares, than, check, 144, solution"
Q5_T11_sqrt_area_frac,4,"sqrt, area, frac, face, calculate, times, terms, formula"
Q5_T12_step_sqrt_frac,4,"step, sqrt, frac, calculate, inradius, using, 160, cdot"
Q5_T13_need_find_sets,4,"need, find, sets, positive, three, integers, squares, since"
Q5_T14_roots_sets_possible,4,"roots, sets, possible, case, unordered"
Q5_T15_now_case_each,4,"now, case, each, calculate, recall, roots, times"
Q5_T16_case_roots_here,4,"case, roots, here, 224, 216, times"
Q5_T17_there_says_jon,4,"there, says, jon, more, analysis, dialogue, than, one"
Q5_T18_tetrahedron_faces_sqrt,3,"tetrahedron, faces, sqrt, lengths, opposite, edges, edge, pairs"
Q5_T19_volume_tetrahedron_total,3,"volume, tetrahedron, total, distance, surface, area, its, incenter"
Q5_T20_tetrahedron_sqrt_lengths,3,"tetrahedron, sqrt, lengths, face, all, faces, given, congruent"
Q5_T21_point_tetrahedron_distance,3,"point, tetrahedron, distance, face, find, each, inradius, incenter"
Q5_T22_volume_sqrt_frac,3,"volume, sqrt, frac, calculate, 128, cdot, 320, times"
Q5_T23_step_analyze_tetrahedron,3,"step, analyze, tetrahedron, sqrt, lengths, geometry"
Q5_T24_sqrt_area_frac,3,"sqrt, area, frac, cdot, calculate, text, 16s, formula"
Q5_T25_summary_polynomials_possible,3,"summary, polynomials, possible, defined, 224, 216, roots, implies"
Q5_T26_since_values_jon,3,"since, values, jon, two, possible, finds, there, says"
Q5_T27_coefficients_2ax_implies,3,"coefficients, 2ax, implies, form, given, comparing"
