token,num_sections,keywords
Q371_T01_largest_all_possible,6,"largest, all, possible, find, value, given"
Q371_T02_coefficients_can_terms,6,"coefficients, can, terms, express, values, points, function, frac"
Q371_T03_left_right_frac,5,"left, right, frac, have, since, evaluate"
Q371_T04_left_right_frac,4,"left, right, frac, these, evaluate, summing, points"
Q371_T05_now_frac_left,4,"now, frac, left, right, equation, find, solve, subtract"
Q371_T06_since_have_evaluate,4,"since, have, evaluate"
Q371_T07_want_frac_maximize,3,"want, frac, maximize, left, right, using, substituting"
Q371_T08_maximum_value_indeed,3,"maximum, value, indeed, thus"
Q371_T09_have,3,have
Q371_T10_triangle_want_inequality,3,"triangle, want, inequality, maximize, using, not, can"
Q371_T11_evaluate,2,evaluate
Q371_T12_should_such_maximize,2,"should, such, maximize, choose, sum, signs"
Q371_T13_system_frac_solve,2,"system, frac, solve, have, linear, equations, can, subtracting"
Q371_T14_multiply_equation_frac,2,"multiply, equation, frac, left, right, second, third"
Q371_T15_have_all_since,2,"have, all, since, thus"
Q371_T16_polynomial_vertex_maximum,2,"polynomial, vertex, maximum, value, frac, endpoints, parabola"
Q371_T17_now_system_two,2,"now, system, two, have, linear, equations"
Q371_T18_subtract_equation,2,"subtract, equation"
Q371_T19_equation_substitute_back,2,"equation, substitute, back, find"
Q371_T20_summing_these_bounds,2,"summing, these, bounds, upper"
Q371_T21_sign_these_term,1,"sign, these, term, opposite, have, signs"
Q371_T22_polynomials_coefficients_points,1,"polynomials, coefficients, points, set, maximum, any"
Q371_T23_correct_polynomial_implies,1,"correct, polynomial, implies, check, condition"
Q371_T24_modified_first_frac,1,"modified, first, frac, subtract, left, right"
Q371_T25_need_achievable_check,1,"need, achievable, check, choose, bound, upper"
Q371_T26_calculate,1,calculate
Q371_T27_found_polynomial_since,1,"found, polynomial, since, valid, satisfying, sum"
Q371_T28_these_can_frac,1,"these, can, frac, solve, left, equations"
Q371_T29_substitute_back_frac,1,"substitute, back, frac, second, left, right"
Q371_T30_need_terms_verify,1,"need, terms, verify, bound, upper, signs"
Q371_T31_absolute_required_equal,1,"absolute, required, equal, check, sum, signs"
Q371_T32_coefficients_vertex_parabola,1,"coefficients, vertex, parabola, value, all, downward"
Q371_T33_multiply_now_equation,1,"multiply, now, equation, third, frac, isolate"
Q371_T34_find_now,1,"find, now"
Q371_T35_expressions_substitute,1,"expressions, substitute"
Q371_T36_triangle_can_larger,1,"triangle, can, larger, get, value, inequality"
Q371_T37_sign_becomes_equality,1,"sign, becomes, equality, term, same, have"
Q371_T38_these_now_terms,1,"these, now, terms, frac, function, solve"
Q371_T39_implies,1,implies
Q371_T40_multiply_frac,1,"multiply, frac"
Q371_T41_since_term_maximum,1,"since, term, maximum, value, all, each"
Q371_T42_polynomial_absolute_implies,1,"polynomial, absolute, implies, need, frac, signs"
Q371_T43_function_now_calculate,1,"function, now, calculate"
Q371_T44_found_since_case,1,"found, since, case, derived, bound, upper"
Q371_T45_using_solve_now,1,"using, solve, now, equations"
Q371_T46_substitute_multiply_expression,1,"substitute, multiply, expression, these, next, frac"
Q371_T47_misc,1,misc
Q371_T48_correct_values_need,1,"correct, values, need, check, such, signs"
Q371_T49_minimum_endpoints_vertex,1,"minimum, endpoints, vertex, maximum, all, parabola"
