question_id,sample_id,attempt_index,tokenized_trace,is_correct
201,0,0,Q201_T01_values_possible_sum > Q201_T09_remainder_divided_written > Q201_T10_properties_step_analyze > Q201_T11_step_values_list > Q201_T12_div_neq_fail > Q201_T01_values_possible_sum,True
201,1,1,Q201_T01_values_possible_sum > Q201_T03_last_group_conditions > Q201_T13_not_can_solve > Q201_T14_step_substitute_back > Q201_T15_step_24j_apply > Q201_T16_correct_step_div > Q201_T01_values_possible_sum,True
201,2,2,Q201_T01_values_possible_sum > Q201_T17_put_last_group > Q201_T02_div_remainder_equiv > Q201_T04_step_sum_calculate,True
201,3,3,Q201_T01_values_possible_sum > Q201_T05_their_puts_teacher > Q201_T02_div_remainder_equiv > Q201_T04_step_sum_calculate,True
201,4,4,Q201_T01_values_possible_sum > Q201_T05_their_puts_teacher > Q201_T06_step_analyze_first > Q201_T02_div_remainder_equiv > Q201_T01_values_possible_sum,True
201,5,5,Q201_T01_values_possible_sum > Q201_T05_their_puts_teacher > Q201_T18_since_not_integer > Q201_T19_correct_divisible_modulo > Q201_T20_div_constraints_values > Q201_T01_values_possible_sum,False
201,6,6,Q201_T01_values_possible_sum > Q201_T03_last_group_conditions > Q201_T06_step_analyze_first > Q201_T02_div_remainder_equiv > Q201_T01_values_possible_sum,True
201,7,7,Q201_T01_values_possible_sum > Q201_T03_last_group_conditions > Q201_T07_div_remainder_equiv > Q201_T21_correct_step_remainder > Q201_T01_values_possible_sum,True
201,8,8,Q201_T01_values_possible_sum > Q201_T08_their_step_analyze > Q201_T08_their_step_analyze > Q201_T07_div_remainder_equiv > Q201_T22_step_need_apply > Q201_T04_step_sum_calculate,True
201,9,9,Q201_T01_values_possible_sum > Q201_T23_grouped_group_number > Q201_T02_div_remainder_equiv > Q201_T24_correct_has_last > Q201_T01_values_possible_sum,True
