question_id,sample_id,attempt_index,tokenized_trace,is_correct
109,0,0,Q109_T02_cos_theta_circ > Q109_T01_cos_circ_sin > Q109_T01_cos_circ_sin > Q109_T02_cos_theta_circ > Q109_T04_angle_theta_circ,True
109,1,1,Q109_T02_cos_theta_circ > Q109_T05_cos_numerator_circ > Q109_T08_cos_denominator_circ > Q109_T06_cos_circ_sin > Q109_T04_angle_theta_circ,False
109,2,2,Q109_T02_cos_theta_circ > Q109_T06_cos_circ_sin > Q109_T06_cos_circ_sin > Q109_T03_cos_theta_tan > Q109_T04_angle_theta_circ,False
109,3,4,Q109_T02_cos_theta_circ > Q109_T05_cos_numerator_circ > Q109_T01_cos_circ_sin > Q109_T06_cos_circ_sin > Q109_T07_angle_theta_positive,False
109,4,5,Q109_T02_cos_theta_circ > Q109_T01_cos_circ_sin > Q109_T01_cos_circ_sin > Q109_T03_cos_theta_tan > Q109_T04_angle_theta_circ,False
109,5,6,Q109_T02_cos_theta_circ > Q109_T01_cos_circ_sin > Q109_T01_cos_circ_sin > Q109_T03_cos_theta_tan > Q109_T07_angle_theta_positive,False
109,6,8,Q109_T02_cos_theta_circ > Q109_T01_cos_circ_sin > Q109_T01_cos_circ_sin > Q109_T03_cos_theta_tan > Q109_T07_angle_theta_positive,False
109,7,9,Q109_T02_cos_theta_circ > Q109_T05_cos_numerator_circ > Q109_T08_cos_denominator_circ > Q109_T03_cos_theta_tan > Q109_T07_angle_theta_positive,True
109,8,10,Q109_T03_cos_theta_tan > Q109_T05_cos_numerator_circ > Q109_T01_cos_circ_sin > Q109_T03_cos_theta_tan > Q109_T04_angle_theta_circ,False
109,9,11,Q109_T02_cos_theta_circ > Q109_T01_cos_circ_sin > Q109_T01_cos_circ_sin > Q109_T03_cos_theta_tan > Q109_T04_angle_theta_circ,True
