token,num_sections,keywords
Q401_T01_expression_proceed_maximum,5,"expression, proceed, maximum, find, given, value"
Q401_T02_implies_sqrt_critical,3,"implies, sqrt, critical, frac, case, find, interval, point"
Q401_T03_cos_since_theta,2,"cos, since, theta, term, bar, have"
Q401_T04_cos_theta_sqrt,2,"cos, theta, sqrt, frac, analyze, expression, maximum, value"
Q401_T05_interval_vertex_sqrt,2,"interval, vertex, sqrt, frac, case, maximum, approx, function"
Q401_T06_since_term_frac,2,"since, term, frac, bar, property, using, left, right"
Q401_T07_step_first_since,2,"step, first, since, term, sqrt, simplify"
Q401_T08_implies_sqrt_maximum,2,"implies, sqrt, maximum, value, frac, values, step"
Q401_T09_case_maximum_value,2,"case, maximum, value, max, theta, verify, endpoints, sqrt"
Q401_T10_cos_first_theta,1,"cos, first, theta, term, sqrt, sin"
Q401_T11_cos_since_theta,1,"cos, since, theta, need, maximize, function"
Q401_T12_expression_since_term,1,"expression, since, term, sqrt, real, have"
Q401_T13_since_term_bar,1,"since, term, bar, frac, second, modulus"
