question_id,sample_id,attempt_index,tokenized_trace,is_correct
232,0,5,Q232_T07_root_omega_1997 > Q232_T03_omega_dots_sum > Q232_T02_omega_frac_terms > Q232_T11_1996_term_frac > Q232_T01_omega_frac_sum,False
232,1,7,Q232_T03_omega_dots_sum > Q232_T02_omega_frac_terms > Q232_T08_since_omega_term > Q232_T02_omega_frac_terms > Q232_T04_omega_frac_1996 > Q232_T12_total_text_underbrace > Q232_T01_omega_frac_sum > Q232_T13_result_same_methods > Q232_T14_calculation_998_1997,False
232,2,9,Q232_T01_omega_frac_sum > Q232_T07_root_omega_1997 > Q232_T04_omega_frac_1996 > Q232_T01_omega_frac_sum,False
232,3,10,Q232_T01_omega_frac_sum > Q232_T01_omega_frac_sum > Q232_T08_since_omega_term > Q232_T15_pair_term_998 > Q232_T01_omega_frac_sum,False
232,4,18,Q232_T01_omega_frac_sum > Q232_T05_primitive_root_omega > Q232_T02_omega_frac_terms > Q232_T01_omega_frac_sum,True
232,5,19,Q232_T01_omega_frac_sum > Q232_T05_primitive_root_omega > Q232_T02_omega_frac_terms > Q232_T01_omega_frac_sum,False
232,6,24,Q232_T16_omega_1997_where > Q232_T09_roots_omega_all > Q232_T06_omega_term_frac > Q232_T02_omega_frac_terms > Q232_T01_omega_frac_sum,False
232,7,25,Q232_T01_omega_frac_sum > Q232_T09_roots_omega_all > Q232_T06_omega_term_frac > Q232_T02_omega_frac_terms > Q232_T10_omega_neq_1997,True
232,8,29,Q232_T01_omega_frac_sum > Q232_T10_omega_neq_1997 > Q232_T04_omega_frac_1996 > Q232_T17_total_omega_term,True
232,9,31,Q232_T05_primitive_root_omega > Q232_T03_omega_dots_sum > Q232_T06_omega_term_frac > Q232_T18_terms_there_number > Q232_T01_omega_frac_sum,True
