question_id,sample_id,attempt_index,tokenized_trace,is_correct
190,0,0,Q190_T03_probability_chosen_find > Q190_T01_step_first_set > Q190_T04_even_step_numbers > Q190_T09_chosen_even_number > Q190_T10_total_number_replacement > Q190_T07_number_favorable_outcomes > Q190_T02_probability_outcomes_frac,True
190,1,1,Q190_T03_probability_chosen_find > Q190_T01_step_first_set > Q190_T05_chooses_total_number > Q190_T06_even_odd_numbers > Q190_T11_must_number_numbers > Q190_T02_probability_outcomes_frac,True
190,2,2,Q190_T03_probability_chosen_find > Q190_T01_step_first_set > Q190_T04_even_step_numbers > Q190_T09_chosen_even_number > Q190_T10_total_number_replacement > Q190_T07_number_favorable_outcomes > Q190_T14_probability_even_text,False
190,3,3,Q190_T03_probability_chosen_find > Q190_T01_step_first_set > Q190_T04_even_step_numbers > Q190_T06_even_odd_numbers > Q190_T05_chooses_total_number > Q190_T07_number_favorable_outcomes > Q190_T02_probability_outcomes_frac > Q190_T08_divide_step_fraction,True
190,4,4,Q190_T03_probability_chosen_find > Q190_T01_step_first_set > Q190_T04_even_step_numbers > Q190_T06_even_odd_numbers > Q190_T05_chooses_total_number > Q190_T07_number_favorable_outcomes > Q190_T02_probability_outcomes_frac,True
190,5,5,Q190_T12_probability_need_determine > Q190_T01_step_first_set > Q190_T15_even_set_number > Q190_T16_chooses_step_total > Q190_T13_even_chooses_number > Q190_T02_probability_outcomes_frac > Q190_T08_divide_step_fraction,True
190,6,6,Q190_T03_probability_chosen_find > Q190_T01_step_first_set > Q190_T04_even_step_numbers > Q190_T06_even_odd_numbers > Q190_T05_chooses_total_number > Q190_T07_number_favorable_outcomes > Q190_T02_probability_outcomes_frac > Q190_T08_divide_step_fraction,True
190,7,7,Q190_T03_probability_chosen_find > Q190_T01_step_first_set > Q190_T04_even_step_numbers > Q190_T06_even_odd_numbers > Q190_T05_chooses_total_number > Q190_T07_number_favorable_outcomes > Q190_T02_probability_outcomes_frac,True
190,8,8,Q190_T03_probability_chosen_find > Q190_T01_step_first_set > Q190_T04_even_step_numbers > Q190_T05_chooses_total_number > Q190_T06_even_odd_numbers > Q190_T11_must_number_numbers > Q190_T02_probability_outcomes_frac > Q190_T08_divide_step_fraction,True
190,9,9,Q190_T12_probability_need_determine > Q190_T01_step_first_set > Q190_T05_chooses_total_number > Q190_T06_even_odd_numbers > Q190_T13_even_chooses_number > Q190_T02_probability_outcomes_frac > Q190_T08_divide_step_fraction,True
