token,num_sections,keywords
Q1_T01_can_maximum_find,9,"can, maximum, find, value, express, treat, other, given"
Q1_T02_roots_quadratic_frac,9,"roots, quadratic, frac, 16e, step, inequality, since, equation"
Q1_T03_substitute_expressions_terms,8,"substitute, expressions, terms, step, inequality, frac, cdot, now"
Q1_T04_maximum_frac_left,5,"maximum, frac, left, right, value, check, 144, 256"
Q1_T05_step_implies_squares,5,"step, implies, squares, sum, define, remaining, first"
Q1_T06_step_schwarz_apply,4,"step, schwarz, apply, cauchy, inequality, any, real"
Q1_T07_given_implies_equations,3,"given, implies, equations, system"
Q1_T08_maximum_value_frac,3,"maximum, value, frac, step, 16e, verify, 144, 256"
Q1_T09_sides_now_solve,3,"sides, now, solve, both, inequality, multiply, 16e, clear"
Q1_T10_value_maximum_frac,3,"value, maximum, frac, thus"
Q1_T11_mean_real_frac,2,"mean, real, frac, numbers, left, sum, dots"
Q1_T12_maximum_occurs_value,2,"maximum, occurs, value, bound, upper, check, interval"
Q1_T13_subtract_16e_both,2,"subtract, 16e, both, sides"
Q1_T14_rearrange_form_quadratic,2,"rearrange, form, quadratic, terms, 16e, inequality"
Q1_T15_factor_out,2,"factor, out"
Q1_T16_denominator_multiply_sides,1,"denominator, multiply, sides, clear, 16e, both"
Q1_T17_inequality_rearrange_solve,1,"inequality, rearrange, solve, 16e"
Q1_T18_variables_use_maximum,1,"variables, use, maximum, find, squares, sum"
Q1_T19_step_constraints_implies,1,"step, constraints, implies, terms, sum, express"
Q1_T20_relating_step_mean,1,"relating, step, mean, apply, inequality, sum"
Q1_T21_step_schwarz_cauchy,1,"step, schwarz, cauchy, dots, cdot, inequality"
Q1_T22_roots_sides_quadratic,1,"roots, sides, quadratic, 16e, frac, both"
Q1_T23_have_problem_statement,1,"have, problem, statement, implies"
Q1_T24_variables_fixed_real,1,"variables, fixed, real, squares, numbers, sum"
Q1_T25_variables_specifically_expressions,1,"variables, specifically, expressions, terms, frac, substituting"
Q1_T26_their_need_determine,1,"their, need, determine, possible, range, sum"
Q1_T27_according_mean_schwarz,1,"according, mean, schwarz, cauchy, frac, dots"
Q1_T28_applying_where_frac,1,"applying, where, frac, left, right"
Q1_T29_144_implies_256,1,"144, implies, 256, check, frac, verify"
Q1_T30_equality_maximum_times,1,"equality, maximum, times, value, frac, holds"
