token,num_sections,keywords
Q17_T01_divided_use_find,10,"divided, use, find, quotient, can, geometric, polynomial, series"
Q17_T02_find_value_archimedes,9,"find, value, archimedes, optimal, should, choose, analyze, must"
Q17_T03_opens_since_parabola,7,"opens, since, parabola, coefficient, negative, vertex, downwards, function"
Q17_T04_should_choose_archimedes,6,"should, choose, archimedes, conclusion, maximum, minimize, value, brahmagupta"
Q17_T05_4xy_term_expand,5,"4xy, term, expand, involving, terms"
Q17_T06_form_quadratic_where,5,"form, quadratic, where, terms, function, equation, coefficient"
Q17_T07_geometric_series_dots,4,"geometric, series, dots, formula, step, sum, recall, our"
Q17_T08_chooses_brahmagupta_archimedes,4,"chooses, brahmagupta, archimedes, minimize, player, function, second, wants"
Q17_T09_will_brahmagupta_choose,4,"will, brahmagupta, choose, archimedes, chooses, any, maximum, value"
Q17_T10_terms_group_constant,4,"terms, group, constant, powers, frac"
Q17_T11_coordinate_vertex_frac,4,"coordinate, vertex, frac, text, opt, here, where, given"
Q17_T12_misc,3,misc
Q17_T13_term_remains_calculate,3,"term, remains, calculate"
Q17_T14_summing_these_max,3,"summing, these, max, text, frac"
Q17_T15_here_frac,3,"here, frac"
Q17_T16_coefficients_text_frac,3,"coefficients, text, frac, opt, substituting, our"
Q17_T17_match_using_calculations,3,"match, using, calculations, derived, formula, values"
Q17_T18_text_opt_frac,3,"text, opt, frac, substitute"
Q17_T19_step_multiply_subtract,2,"step, multiply, subtract, get, frac, quotient, divide, down"
Q17_T20_step_polynomial_use,2,"step, polynomial, use, division, theorem, remainder, long, synthetic"
Q17_T21_need_now_frac,2,"need, now, frac, quotient, step, expand, know, find"
Q17_T22_write_can_where,2,"write, can, where, quotient, division, need"
Q17_T23_rearranging_solve_equation,2,"rearranging, solve, equation, step, frac, quotient"
Q17_T24_quotient,2,quotient
Q17_T25_long_polynomial_method,2,"long, polynomial, method, verification, division"
Q17_T26_dots_divide,2,"dots, divide"
Q17_T27_coefficients_remainder_quotient,2,"coefficients, remainder, quotient, division, divisor, degree, step, frac"
Q17_T28_step_factorization_dots,2,"step, factorization, dots, recall, polynomial, can, know, any"
Q17_T29_step_now_perform,2,"step, now, perform, frac, division, expression, divide"
Q17_T30_polynomial_remainder_text,2,"polynomial, remainder, text, quotient, divisor, frac, coefficients, division"
Q17_T31_divided_theorem_remainder,2,"divided, theorem, remainder, here, step, determine, dividing, according"
Q17_T32_text_frac_opt,2,"text, frac, opt, value, left, right"
Q17_T33_maximizing_analyze_fixed,2,"maximizing, analyze, fixed, strategy, brahmagupta, wants, chooses"
Q17_T34_back_substitute_expression,2,"back, substitute, expression, 4xy"
Q17_T35_coordinate_vertex_quadratic,2,"coordinate, vertex, quadratic, given, frac, substituting, here"
Q17_T36_substitute_terms_maximum,2,"substitute, terms, maximum, value, now, calculate, optimal, determine"
Q17_T37_analyze_strategy_minimizing,2,"analyze, strategy, minimizing, archimedes, result, wants, any, knows"
Q17_T38_leading_quadratic_positive,2,"leading, quadratic, positive, coefficient, opens, vertex, represents, since"
Q17_T39_functions_surface_understand,2,"functions, surface, understand, function, describing, objective"
Q17_T40_chooses_proceeds_game,2,"chooses, proceeds, game, two, value, stages, final"
Q17_T41_point_zero_set,2,"point, zero, set, derivative, find, critical"
Q17_T42_implies_derivative_frac,2,"implies, derivative, frac, 16x, alternatively, take, using"
Q17_T43_analyze_given_brahmagupta,2,"analyze, given, brahmagupta, function, move, 4xy"
Q17_T44_substitute_back_now,2,"substitute, back, now, optimal, value, expression, maximum"
Q17_T45_outcome_function_representing,2,"outcome, function, representing, game"
