token,num_sections,keywords
Q19_T01_remainder_1000_321,13,"remainder, 1000, 321, 8321, step, pmod, find, correct"
Q19_T02_sqrt_frac_64i,10,"sqrt, frac, 64i, step, calculate, left, cdot, right"
Q19_T03_4096_step_3600,10,"4096, step, 3600, 4225, 64i, cdot, compute"
Q19_T04_prod_remainder_omega,9,"prod, remainder, omega, product, find, divided, all, other"
Q19_T05_prod_product_left,8,"prod, product, left, omega, right, terms, cdot, step"
Q19_T06_omega_product_13th,7,"omega, product, 13th, all, unity, find, set, prod"
Q19_T07_general_omega_term,7,"general, omega, term, can, step, roots, factor, polynomial"
Q19_T08_omega_term_frac,6,"omega, term, frac, quadratic, general, step, expression, can"
Q19_T09_roots_prod_polynomial,5,"roots, prod, polynomial, product, omega, dots, all, term"
Q19_T10_roots_general_omega,4,"roots, general, omega, term, can, expression, quadratic, prod"
Q19_T11_root_remainder_omega,3,"root, remainder, omega, 13th, find, unity"
Q19_T12_step_remainder_find,3,"step, remainder, find, 1000, 113, modulo, 2113, 321"
Q19_T13_4096_3600_4225,2,"4096, 3600, 4225, 64i, right, left, 8321, squares"
Q19_T14_step_1089_1024,2,"step, 1089, 1024, 32i, 900, cdot, compute, final"
Q19_T15_sqrt_frac_cdot,2,"sqrt, frac, cdot, 64i, since, bar, cos, sin"
Q19_T16_prod_step_omega,2,"prod, step, omega, product, evaluate, substitute, cdot"
Q19_T17_roots_prod_omega,2,"roots, prod, omega, alpha, beta, product, polynomial"
Q19_T18_sqrt_frac_alpha,2,"sqrt, frac, alpha, left, beta, cdot"
Q19_T19_step_overline_compute,1,"step, overline, compute, bar, cdot, 64i"
Q19_T20_prod_omega_part,1,"prod, omega, part, using, left, right"
Q19_T21_8321_remainder_1000,1,"8321, remainder, 1000, cdot, 321, 64i"
Q19_T22_overline_sqrt_64i,1,"overline, sqrt, 64i, now, frac, calculate"
Q19_T23_implies_3600_alpha,1,"implies, 3600, alpha, beta, 4225, 64i"
Q19_T24_cos_sqrt_64i,1,"cos, sqrt, 64i, product, cdot, calculate"
Q19_T25_root_8321_set,1,"root, 8321, set, omega, 1000, 321"
Q19_T26_roots_prod_polynomial,1,"roots, prod, polynomial, step, our, omega"
Q19_T27_cos_sqrt_sin,1,"cos, sqrt, sin, frac, left, right"
Q19_T28_general_omega_term,1,"general, omega, term, can, left, right"
