token,num_sections,keywords
Q241_T01_point_origin_smallest,10,"point, origin, smallest, find, distance, between"
Q241_T02_points_find_critical,8,"points, find, critical, frac, set, 16x, minimum, respect"
Q241_T03_point_distance_minimize,7,"point, distance, minimize, sqrt, square, function, define, step"
Q241_T04_frac_point_minimum,5,"frac, point, minimum, distance, critical, corresponding, value, squared"
Q241_T05_step_smallest_problem,5,"step, smallest, problem, determine, states, sqrt, distance, calculate"
Q241_T06_step_frac_left,4,"step, frac, left, right, express, function, terms"
Q241_T07_point_sqrt_distance,3,"point, sqrt, distance, function, define, graph, minimizing"
Q241_T08_expression_frac_left,3,"expression, frac, left, right, simplify, expand, substitute, constraint"
Q241_T09_points_256_critical,3,"points, 256, critical, frac, 128, evaluate"
Q241_T10_value_minimum_comparing,3,"value, minimum, comparing, values, squared, distance, since, where"
Q241_T11_step_substitute_terms,2,"step, substitute, terms, express, expression, only, single, variable"
Q241_T12_set_derivative_find,1,"set, derivative, find, frac, left, right"
Q241_T13_distance_terms_squared,1,"distance, terms, squared, frac, minimize, express"
Q241_T14_back_relate_sqrt,1,"back, relate, sqrt, problem, statement, states"
Q241_T15_simply_minimum_since,1,"simply, minimum, since, value, minimized, alternatively"
Q241_T16_substitute_sqrt_frac,1,"substitute, sqrt, frac, terms, equation, distance"
Q241_T17_square_frac_distance,1,"square, frac, distance, minimizing, left, right"
Q241_T18_minimum_local_nature,1,"minimum, local, nature, minima, infty, verify"
Q241_T19_answer_sqrt_problem,1,"answer, sqrt, problem, states, final, calculate"
Q241_T20_logic_double_asks,1,"logic, double, asks, problem, check, minimized"
Q241_T21_point_slope_implies,1,"point, slope, implies, normal, where, frac"
Q241_T22_vec_vector_implies,1,"vec, vector, implies, points, frac, distance"
Q241_T23_need_sqrt_smallest,1,"need, sqrt, smallest, find, distance"
Q241_T24_step_minimum_determine,1,"step, minimum, determine, distance, comparing, calculate"
Q241_T25_minimum_since_frac,1,"minimum, since, frac, function, left, right"
Q241_T26_step_minimum_sqrt,1,"step, minimum, sqrt, smallest, distance, min"
Q241_T27_step_substitute_only,1,"step, substitute, only, frac, function, express"
Q241_T28_minimum_local_sqrt,1,"minimum, local, sqrt, frac, squared, distance"
