question_id,sample_id,attempt_index,tokenized_trace,is_correct
46,0,0,Q46_T01_books_step_number > Q46_T06_remaining_shelf_each > Q46_T04_total_remaining_books > Q46_T01_books_step_number > Q46_T01_books_step_number > Q46_T02_step_div_fraction,True
46,1,1,Q46_T01_books_step_number > Q46_T07_these_since_remaining > Q46_T04_total_remaining_books > Q46_T01_books_step_number > Q46_T08_fraction_remaining_math > Q46_T02_step_div_fraction,True
46,2,2,Q46_T05_fraction_math_number > Q46_T01_books_step_number > Q46_T03_step_shelf_books > Q46_T01_books_step_number > Q46_T04_total_remaining_books > Q46_T01_books_step_number > Q46_T01_books_step_number > Q46_T02_step_div_fraction,False
46,3,3,Q46_T01_books_step_number > Q46_T03_step_shelf_books > Q46_T01_books_step_number > Q46_T04_total_remaining_books > Q46_T09_middle_math_shelf > Q46_T08_fraction_remaining_math > Q46_T02_step_div_fraction,True
46,4,4,Q46_T01_books_step_number > Q46_T01_books_step_number > Q46_T10_total_remaining_top > Q46_T05_fraction_math_number > Q46_T02_step_div_fraction,True
46,5,5,Q46_T05_fraction_math_number > Q46_T01_books_step_number > Q46_T03_step_shelf_books > Q46_T06_remaining_shelf_each > Q46_T04_total_remaining_books > Q46_T01_books_step_number > Q46_T02_step_div_fraction,True
46,6,6,Q46_T01_books_step_number > Q46_T07_these_since_remaining > Q46_T10_total_remaining_top > Q46_T01_books_step_number > Q46_T01_books_step_number > Q46_T02_step_div_fraction,False
46,7,7,Q46_T01_books_step_number > Q46_T03_step_shelf_books > Q46_T03_step_shelf_books > Q46_T04_total_remaining_books > Q46_T01_books_step_number > Q46_T02_step_div_fraction,True
46,8,8,Q46_T01_books_step_number > Q46_T03_step_shelf_books > Q46_T03_step_shelf_books > Q46_T04_total_remaining_books > Q46_T01_books_step_number > Q46_T01_books_step_number > Q46_T02_step_div_fraction,False
46,9,9,Q46_T01_books_step_number > Q46_T03_step_shelf_books > Q46_T01_books_step_number > Q46_T09_middle_math_shelf > Q46_T01_books_step_number > Q46_T02_step_div_fraction,True
