token,num_sections,keywords
Q0_T01_end_begin_pmatrix,21,"end, begin, pmatrix, mathbf, frac, line, vector, reflection"
Q0_T02_end_begin_pmatrix,5,"end, begin, pmatrix, step, midpoint, frac, vec, vector"
Q0_T03_begin_vector_find,4,"begin, vector, find, reflection, image, pmatrix"
Q0_T04_line_point_reflection,3,"line, point, reflection, frac, slope, find, vec, pmatrix"
Q0_T05_maps_point_axis,2,"maps, point, axis, reflection, pmatrix, begin, line"
Q0_T06_slope_axis_frac,2,"slope, axis, frac, pmatrix, line, sqrt, begin, find"
Q0_T07_line_equation_reflection,2,"line, equation, reflection, pmatrix, mathbf, step, vector, normal"
Q0_T08_step_slope_determine,2,"step, slope, determine, frac, segment, axis, reflection"
Q0_T09_end_begin_vector,1,"end, begin, vector, axis, pmatrix, direction"
Q0_T10_vector_which_determine,1,"vector, which, determine, reflection, pmatrix, takes"
Q0_T11_intersection_line_point,1,"intersection, line, point, step, find, pmatrix"
Q0_T12_line_mathbf_step,1,"line, mathbf, step, segment, slope, check"
Q0_T13_end_begin_step,1,"end, begin, step, reflection, pmatrix, identify"
Q0_T14_point_step_slope,1,"point, step, slope, form, equation, find"
