token,num_sections,keywords
Q11_T01_paths_length_number,18,"paths, length, number, find, times, corner"
Q11_T02_solutions_number_each,12,"solutions, number, each, calculate, case, use, pattern, integer"
Q11_T03_path_changes_direction,9,"path, changes, direction, segments, steps, right, consists, moves"
Q11_T04_total_final_summation,7,"total, final, summation, 147, number, case, cases, both"
Q11_T05_number_binom_distribute,7,"number, binom, distribute, ways, equation, case, solutions, calculating"
Q11_T06_total_paths_147,6,"total, paths, 147, times, case, 294, step, pattern"
Q11_T07_analyze_path_structure,6,"analyze, path, structure, right, moves, grid, total, steps"
Q11_T08_segments_binom_number,6,"segments, binom, number, ways, sum, case, parts, calculate"
Q11_T09_total_147_times,6,"total, 147, times, case, ways, pattern, calculation, final"
Q11_T10_starting_cases_two,5,"starting, cases, two, direction, there, based, possible, analyze"
Q11_T11_bars_number_stars,5,"bars, number, stars, using, solutions, formula, calculate, positive"
Q11_T12_solutions_binom_number,4,"solutions, binom, number, segments, case, times, given, stars"
Q11_T13_segments_since_choices,4,"segments, since, choices, independent, total, right, pattern, binom"
Q11_T14_segment_constraints_total,4,"segment, constraints, total, right, each, moves, steps, wouldn"
Q11_T15_segments_lengths_must,4,"segments, lengths, must, sum, segment, their, pattern, moving"
Q11_T16_case_number_ways,4,"case, number, ways, choose, segment, binom, such, lengths"
Q11_T17_total_147_case,4,"total, 147, case, sum, results, number, starting, paths"
Q11_T18_binom_number_segments,4,"binom, number, segments, solutions, frac, calculation, times, ways"
Q11_T19_case_starts_path,4,"case, starts, path, segments, moves, total, right, direction"
Q11_T20_need_integer_case,4,"need, integer, case, number, find, calculating, solving"
Q11_T21_their_segments_lengths,4,"their, segments, lengths, case, correspond, steps, constraints, all"
Q11_T22_segments_step_binom,4,"segments, step, binom, solve, horizontal, vertical, text, using"
Q11_T23_steps_solutions_number,4,"steps, solutions, number, calculating, binom, right, ways, need"
Q11_T24_right_case_there,3,"right, case, there, possible, two, moves, block, alternating"
Q11_T25_paths_length_change,3,"paths, length, change, conclusion, number, direction, 294, there"
Q11_T26_segments_sum_right,3,"segments, sum, right, segment, moves, indexed, least, case"
Q11_T27_total_final_starting,3,"total, final, starting, paths, 147, summation, number, calculation"
Q11_T28_steps_total_right,3,"steps, total, right, analyze, number, path, step, units"
Q11_T29_case_number_due,3,"case, number, due, symmetry, solutions, paths, valid, equal"
Q11_T30_horizontal_segments_total,3,"horizontal, segments, total, vertical, moves, lengths, paths, 147"
Q11_T31_binom_steps_right,3,"binom, steps, right"
Q11_T32_analyze_steps_total,2,"analyze, steps, total, case, segment, number, binom, now"
Q11_T33_441_times_calculate,2,"441, times, calculate"
Q11_T34_segments_since_determine,2,"segments, since, determine, structure, path, starts, must"
Q11_T35_moves_segment_case,2,"moves, segment, case, sequence, starts, right, types"
Q11_T36_moves_segments_binom,2,"moves, segments, binom, need, case, right, distribute"
Q11_T37_moves_segments_starts,2,"moves, segments, starts, path, move, right, step, alternate"
Q11_T38_segments_changes_there,2,"segments, changes, there, number, direction, given, runs"
Q11_T39_their_segments_lengths,2,"their, segments, lengths, case, constraint, right, path"
Q11_T40_since_determine_must,2,"since, determine, must, possible, segment, structures, patterns, block"
Q11_T41_moves_segments_lengths,2,"moves, segments, lengths, case, path, segment, starts"
Q11_T42_total_paths_147,2,"total, paths, 147, exactly, number, direction"
Q11_T43_moves_solutions_binom,2,"moves, solutions, binom, number, here, right, calculation"
Q11_T44_since_total_blocks,2,"since, total, blocks, choices, paths, case, independent, number"
Q11_T45_segments_binom_need,2,"segments, binom, need, number, pattern, right, variables, total"
Q11_T46_segments_pattern_same,2,"segments, pattern, same, equation, number, right"
Q11_T47_moves_variables_total,2,"moves, variables, total, lengths, number, define"
Q11_T48_correct_segments_binom,2,"correct, segments, binom, 147, implies, times, sum, vars"
Q11_T49_path_segments_step,2,"path, segments, step, changes, block, direction, steps, has"
Q11_T50_lengths_blocks_must,2,"lengths, blocks, must, case, sum, block, starts"
Q11_T51_horizontal_segments_path,2,"horizontal, segments, path, vertical, direction, number, case"
Q11_T52_horizontal_segments_vertical,2,"horizontal, segments, vertical, lengths, pattern, sum, these, since"
Q11_T53_segments_lengths_must,2,"segments, lengths, must, corresponding, sum, steps, moves"
Q11_T54_step_binom_number,2,"step, binom, number, distribute, solutions, where, steps, vertical"
Q11_T55_segments_binom_parts,2,"segments, binom, parts, case, right, times, equation"
Q11_T56_segments_steps_case,2,"segments, steps, case, number, path, right, starts"
Q11_T57_segments_binom_need,2,"segments, binom, need, case, ways, horizontal, vertical"
Q11_T58_segments_segment_either,1,"segments, segment, either, determine, must, right"
Q11_T59_values_binom_times,1,"values, binom, times, frac, calculate"
Q11_T60_441_total_paths,1,"441, total, paths, number, such, sum"
Q11_T61_segments_directions_case,1,"segments, directions, case, sequence, sum, starts"
Q11_T62_segments_steps_total,1,"segments, steps, total, determine, must, number"
Q11_T63_starting_turns_paths,1,"starting, turns, paths, having, number, times"
Q11_T64_segments_must_number,1,"segments, must, number, ends, starts, right"
Q11_T65_counting_solutions_notice,1,"counting, solutions, notice, number, structure, mathematical"
Q11_T66_pattern_solutions_number,1,"pattern, solutions, number, one, solve, calculate"
Q11_T67_classic_bars_positive,1,"classic, bars, positive, number, problem, stars"
Q11_T68_segments_steps_alternating,1,"segments, steps, alternating, binom, 147, identified"
Q11_T69_moves_changes_rrr,1,"moves, changes, rrr, blocks, dots, path"
Q11_T70_moves_constraints_total,1,"moves, constraints, total, block, case, solve"
Q11_T71_solutions_integer_positive,1,"solutions, integer, positive, number, problem, finding"
Q11_T72_moves_implies_total,1,"moves, implies, total, binom, blocks, solve"
Q11_T73_segments_pattern_there,1,"segments, pattern, there, possible, ends, starts"
Q11_T74_moves_analyze_exactly,1,"moves, analyze, exactly, structure, direction, path"
Q11_T75_moves_denote_string,1,"moves, denote, string, sequence, starts, path"
Q11_T76_segments_consists_same,1,"segments, consists, same, only, opposite, move"
Q11_T77_moves_pattern_alternates,1,"moves, pattern, alternates, case, there, two"
Q11_T78_their_segments_segment,1,"their, segments, segment, total, length, lengths"
Q11_T79_alternating_consists_blocks,1,"alternating, consists, blocks, number, here, path"
Q11_T80_patterns_lengths_determine,1,"patterns, lengths, determine, blocks, possible, direction"
Q11_T81_case_equation,1,"case, equation"
Q11_T82_solutions_binom_total,1,"solutions, binom, total, blocks, case, equation"
Q11_T83_reasoning_holds,1,"reasoning, holds"
Q11_T84_294_paths_number,1,"294, paths, number, such, conclusion"
Q11_T85_step_changes_followed,1,"step, changes, followed, dots, direction, path"
Q11_T86_changes_determine_blocks,1,"changes, determine, blocks, number, problem, states"
Q11_T87_alternating_blocks_composed,1,"alternating, blocks, composed, ends, starts, path"
Q11_T88_patterns_note_blocks,1,"patterns, note, blocks, cannot, have, like"
Q11_T89_steps_represent_block,1,"steps, represent, block, number, each, right"
Q11_T90_moves_must_right,1,"moves, must, right, direction, move, path"
Q11_T91_directions_segments_must,1,"directions, segments, must, there, alternate, right"
Q11_T92_their_moves_correspond,1,"their, moves, correspond, segments, segment, right"
Q11_T93_moves_segments_case,1,"moves, segments, case, number, distribute, ways"
Q11_T94_constraints_notice_identical,1,"constraints, notice, identical, structure, mathematical, both"
Q11_T95_segments_since_solutions,1,"segments, since, solutions, total, choices, case"
Q11_T96_constraints_total_solutions,1,"constraints, total, solutions, parts, case, summing"
Q11_T97_steps_binom_times,1,"steps, binom, times, frac, right"
Q11_T98_total_text_147,1,"total, text, 147, paths, 294"
Q11_T99_horizontal_steps_vertical,1,"horizontal, steps, vertical, consists, direction, path"
Q11_T100_horizontal_segment_vertical,1,"horizontal, segment, vertical, must, starts, path"
Q11_T101_steps_total_vertical,1,"steps, total, vertical, case, number, path"
