token,num_sections,keywords
Q201_T01_values_possible_sum,17,"values, possible, sum, all, need, find, step, calculate"
Q201_T02_div_remainder_equiv,5,"div, remainder, equiv, pmod, not, does, values, condition"
Q201_T03_last_group_conditions,3,"last, group, conditions, students, grouped, has, divided, groups"
Q201_T04_step_sum_calculate,3,"step, sum, calculate"
Q201_T05_their_puts_teacher,3,"their, puts, teacher, them, groups, students, integer, group"
Q201_T06_step_analyze_first,2,"step, analyze, first, constraints, condition, than, values"
Q201_T07_div_remainder_equiv,2,"div, remainder, equiv, pmod, implies, gives, mod, check"
Q201_T08_their_step_analyze,2,"their, step, analyze, can, condition, first, second"
Q201_T09_remainder_divided_written,1,"remainder, divided, written, can, groups, conditions"
Q201_T10_properties_step_analyze,1,"properties, step, analyze, must, based, odd"
Q201_T11_step_values_list,1,"step, values, list, possible, satisfying, second"
Q201_T12_div_neq_fail,1,"div, neq, fail, test, equiv, pmod"
Q201_T13_not_can_solve,1,"not, can, solve, equiv, condition, pmod"
Q201_T14_step_substitute_back,1,"step, substitute, back, 24j, terms, express"
Q201_T15_step_24j_apply,1,"step, 24j, apply, negative, constraint, non"
Q201_T16_correct_step_div,1,"correct, step, div, values, remainder, check"
Q201_T17_put_last_group,1,"put, last, group, groups, condition, students"
Q201_T18_since_not_integer,1,"since, not, integer, solution, equiv, pmod"
Q201_T19_correct_divisible_modulo,1,"correct, divisible, modulo, 48m, equiv, pmod"
Q201_T20_div_constraints_values,1,"div, constraints, values, positive, valid, check"
Q201_T21_correct_step_remainder,1,"correct, step, remainder, verify, times, groups"
Q201_T22_step_need_apply,1,"step, need, apply, valid, find, constraint"
Q201_T23_grouped_group_number,1,"grouped, group, number, given, conditions, students"
Q201_T24_correct_has_last,1,"correct, has, last, group, times, groups"
