token,num_sections,keywords
Q466_T01_all_sum_values,15,"all, sum, values, theta, possible, find, frac, total"
Q466_T02_geometric_polynomial_sum,4,"geometric, polynomial, sum, series, neq, frac, zero, roots"
Q466_T03_roots_step_values,3,"roots, step, values, theta, frac, determine, implies, since"
Q466_T04_theta_frac_sum,3,"theta, frac, sum, valid, all, first, total, roots"
Q466_T05_roots_implies_must,3,"roots, implies, must, frac, zero, angle, root, denominator"
Q466_T06_roots_step_theta,3,"roots, step, theta, find, frac, express, implies, dots"
Q466_T07_step_polynomial_terms,2,"step, polynomial, terms, identify, roots, equation, given, structure"
Q466_T08_first_theta_frac,2,"first, theta, frac, sum, odd, numbers, values"
Q466_T09_geometric_step_polynomial,2,"geometric, step, polynomial, series, frac, recognize, identify"
Q466_T10_step_written_can,1,"step, written, can, equation, solve, integers"
Q466_T11_root_implies_gives,1,"root, implies, gives, corresponding, frac, exclude"
Q466_T12_roots_polynomial_neq,1,"roots, polynomial, neq, must, frac, condition"
Q466_T13_roots_integer_can,1,"roots, integer, can, neq, frac, any"
Q466_T14_values_theta_since,1,"values, theta, since, implies, within, frac"
Q466_T15_polynomial_zero_text,1,"polynomial, zero, text, quad, must, frac"
Q466_T16_step_our_values,1,"step, our, values, theta, original, frac"
Q466_T17_root_values_theta,1,"root, values, theta, these, valid, frac"
Q466_T18_step_root_theta,1,"step, root, theta, set, possible, frac"
Q466_T19_our_since_theta,1,"our, since, theta, values, neq, corresponds"
Q466_T20_equation,1,equation
Q466_T21_roots_coefficients_notice,1,"roots, coefficients, notice, product, equation, dots"
Q466_T22_polar_form_write,1,"polar, form, write, can, frac, any"
Q466_T23_root_since_theta,1,"root, since, theta, problem, frac, states"
Q466_T24_than_values_theta,1,"than, values, theta, frac, value, all"
Q466_T25_substitute_expression_back,1,"substitute, expression, back, times, frac"
Q466_T26_roots_arguments_text,1,"roots, arguments, text, circle, frac, sum"
Q466_T27_holds_calculation,1,"holds, calculation"
