token,num_sections,keywords
Q46_T01_books_step_number,26,"books, step, number, remaining, math, shelf, determine, initial"
Q46_T02_step_div_fraction,10,"step, div, fraction, simplify, both, numerator, frac, numbers"
Q46_T03_step_shelf_books,8,"step, shelf, books, calculate, removed, each, number, remaining"
Q46_T04_total_remaining_books,7,"total, remaining, books, calculate, step, number, text, removed"
Q46_T05_fraction_math_number,3,"fraction, math, number, books, find, left, total, remaining"
Q46_T06_remaining_shelf_each,2,"remaining, shelf, each, books, starts, remove, math, mystery"
Q46_T07_these_since_remaining,2,"these, since, remaining, shelf, were, books"
Q46_T08_fraction_remaining_math,2,"fraction, remaining, math, books, text, frac, step, calculate"
Q46_T09_middle_math_shelf,2,"middle, math, shelf, were, books, removed, taken"
Q46_T10_total_remaining_top,2,"total, remaining, top, books, shelf, calculate, text, middle"
