token,num_sections,keywords
Q352_T01_frac_alpha_right,13,"frac, alpha, right, tan, left, triangle, angle, set"
Q352_T02_theta_tan_equation,8,"theta, tan, equation, frac, alpha, becomes, left, since"
Q352_T03_step_perimeter_triangle,5,"step, perimeter, triangle, will, abc, find"
Q352_T04_angle_theta_alpha,5,"angle, theta, alpha, since, tan, circ, triangle, neq"
Q352_T05_since_frac_theta,5,"since, frac, theta, acute, tan, half, thus, beta"
Q352_T06_since_sqrt_triangle,5,"since, sqrt, triangle, perimeter, abc, calculate"
Q352_T07_sqrt_frac_121,4,"sqrt, frac, 121, right, left, now, step, length"
Q352_T08_angle_since_altitude,4,"angle, since, altitude, triangle, given, isosceles, alpha, length"
Q352_T09_angle_frac_alpha,3,"angle, frac, alpha, beta, bac, step, theta, analyze"
Q352_T10_theta_sqrt_tan,3,"theta, sqrt, tan, frac, perimeter, step, hypotenuse, ratio"
Q352_T11_frac_triangle_tan,3,"frac, triangle, tan, right, angled, dbm, relate, angles"
Q352_T12_triple_theta_use,3,"triple, theta, use, tan, frac, solve"
Q352_T13_multiply_sides_frac,3,"multiply, sides, frac, both, theta, tan, 32t, 33t"
Q352_T14_sqrt_perimeter_2ab,3,"sqrt, perimeter, 2ab, calculate"
Q352_T15_605_sqrt_151,3,"605, sqrt, 151, frac, 121, double, times"
Q352_T16_angle_since_frac,2,"angle, since, frac, alpha, delta, altitude, bac, given"
Q352_T17_properties_geometric_set,2,"properties, geometric, set, based, equations, define"
Q352_T18_since_base_sqrt,2,"since, base, sqrt, length, triangle, altitude, coordinates"
Q352_T19_angle_triangle_bdc,2,"angle, triangle, bdc, beta, gamma, altitude, bdm, frac"
Q352_T20_tan_system_have,2,"tan, system, have, solve, beta, two, theta, equation"
Q352_T21_angle_triple_tan,2,"angle, triple, tan, recall, beta, formula, theta, identity"
Q352_T22_tan_frac_32t,2,"tan, frac, 32t, 33t, beta, theta"
Q352_T23_sqrt_times_frac,2,"sqrt, times, frac, 121, now, calculate, tan, beta"
Q352_T24_variables_problem_statement,2,"variables, problem, statement, based, define, geometry, coordinates"
Q352_T25_point_since_setup,2,"point, since, setup, midpoint, origin, coordinates, coordinate, system"
Q352_T26_sqrt_frac_left,2,"sqrt, frac, left, right, calculate, side, 121"
Q352_T27_approx_double_tan,2,"approx, double, tan, circ, times, alpha"
Q352_T28_angle_bac_triangle,2,"angle, bac, triangle, altitude, alpha, bisects, isosceles"
Q352_T29_sqrt_frac_121,2,"sqrt, frac, 121, right, lengths, cdot, find, times"
Q352_T30_step_variables_since,1,"step, variables, since, triangle, coordinates, define"
Q352_T31_which_need_lengths,1,"which, need, lengths, perimeter, side, calculate"
Q352_T32_approximately_approx_236,1,"approximately, approx, 236, value"
Q352_T33_logical_steps_algebra,1,"logical, steps, algebra, verified"
Q352_T34_equating_beta_them,1,"equating, beta, them, tan"
Q352_T35_substitute_tan_equation,1,"substitute, tan, equation, frac, beta"
Q352_T36_angle_since_specifically,1,"angle, since, specifically, triangle, tan, beta"
Q352_T37_substitute_back_now,1,"substitute, back, now, lengths, side, calculate"
Q352_T38_sqrt_value,1,"sqrt, value"
Q352_T39_theta_triangle_tan,1,"theta, triangle, tan, frac, consider, right"
Q352_T40_theta_substitute_tan,1,"theta, substitute, tan"
Q352_T41_logical_arithmetic_steps,1,"logical, arithmetic, steps, consistent"
Q352_T42_angle_dmb_now,1,"angle, dmb, now, tan, frac, right"
Q352_T43_correct_step_sqrt,1,"correct, step, sqrt, perimeter, frac, calculate"
Q352_T44_step_multiply_frac,1,"step, multiply, frac, solve, both, 33t"
Q352_T45_125_sqrt_perimeter,1,"125, sqrt, perimeter, times, frac, 121"
Q352_T46_variables_coordinate_set,1,"variables, coordinate, set, system, based, define"
Q352_T47_angle_analyze_triangle,1,"angle, analyze, triangle, frac, alpha, angles"
Q352_T48_lengths_tan_times,1,"lengths, tan, times, recall, side, calculate"
Q352_T49_seems_correct_value,1,"seems, correct, value"
