question_id,sample_id,attempt_index,tokenized_trace,is_correct
12,0,0,Q12_T07_144i_117i_expression > Q12_T18_gcd_expression_real > Q12_T11_theta_frac_left > Q12_T12_cos_theta_text > Q12_T01_theta_cos_sin,False
12,0,0,Q12_T05_sum_proper_find > Q12_T03_284_proper_divisors > Q12_T10_proper_times_divisors,False
12,1,1,Q12_T05_sum_proper_find > Q12_T03_284_proper_divisors > Q12_T10_proper_times_divisors,False
12,1,2,Q12_T04_largest_part_possible > Q12_T19_step_coefficients_117i > Q12_T02_cos_theta_sin > Q12_T12_cos_theta_text > Q12_T09_theta_324_432,True
12,2,2,Q12_T05_sum_proper_find > Q12_T03_284_proper_divisors > Q12_T06_times_divisors_sum,True
12,2,3,Q12_T04_largest_part_possible > Q12_T08_divisible_144_39i > Q12_T02_cos_theta_sin > Q12_T13_cos_theta_coefficient > Q12_T01_theta_cos_sin,True
12,3,3,Q12_T17_solution_proper_find > Q12_T03_284_proper_divisors > Q12_T06_times_divisors_sum,True
12,3,4,Q12_T07_144i_117i_expression > Q12_T20_substitute_117i_expression > Q12_T14_cos_theta_real > Q12_T21_theta_text_now > Q12_T15_cos_theta_text > Q12_T22_36i_coefficients_468i > Q12_T23_324_468_300 > Q12_T15_cos_theta_text > Q12_T24_theta_text_sqrt > Q12_T25_225_calculation_text > Q12_T26_180_540_360 > Q12_T27_432_text_bar > Q12_T04_largest_part_possible,True
12,4,4,Q12_T05_sum_proper_find > Q12_T03_284_proper_divisors > Q12_T06_times_divisors_sum,True
12,4,11,Q12_T07_144i_117i_expression > Q12_T08_divisible_144_39i > Q12_T02_cos_theta_sin > Q12_T28_cos_theta_text > Q12_T01_theta_cos_sin,True
12,5,5,Q12_T05_sum_proper_find > Q12_T03_284_proper_divisors > Q12_T06_times_divisors_sum,True
12,5,12,Q12_T04_largest_part_possible > Q12_T29_coefficients_expression_theta > Q12_T02_cos_theta_sin > Q12_T13_cos_theta_coefficient > Q12_T09_theta_324_432,True
12,6,6,Q12_T05_sum_proper_find > Q12_T03_284_proper_divisors > Q12_T10_proper_times_divisors,True
12,6,14,Q12_T04_largest_part_possible > Q12_T30_48k_notice_times > Q12_T31_cos_168_144 > Q12_T02_cos_theta_sin > Q12_T32_432_theta_sqrt > Q12_T01_theta_cos_sin,False
12,7,7,Q12_T05_sum_proper_find > Q12_T03_284_proper_divisors > Q12_T06_times_divisors_sum,True
12,7,16,Q12_T07_144i_117i_expression > Q12_T02_cos_theta_sin > Q12_T01_theta_cos_sin,True
12,8,8,Q12_T05_sum_proper_find > Q12_T03_284_proper_divisors > Q12_T06_times_divisors_sum,True
12,8,29,Q12_T33_largest_expression_asked > Q12_T34_step_theta_terms > Q12_T02_cos_theta_sin > Q12_T35_step_144_117 > Q12_T01_theta_cos_sin,True
12,9,9,Q12_T17_solution_proper_find > Q12_T03_284_proper_divisors > Q12_T06_times_divisors_sum,False
12,9,30,Q12_T07_144i_117i_expression > Q12_T08_divisible_144_39i > Q12_T11_theta_frac_left > Q12_T14_cos_theta_real > Q12_T01_theta_cos_sin,True
12,10,31,Q12_T04_largest_part_possible > Q12_T08_divisible_144_39i > Q12_T02_cos_theta_sin > Q12_T02_cos_theta_sin > Q12_T01_theta_cos_sin,True
12,11,37,Q12_T04_largest_part_possible > Q12_T02_cos_theta_sin > Q12_T36_144i_step_117i > Q12_T37_step_coefficients_324 > Q12_T09_theta_324_432,True
12,12,38,Q12_T07_144i_117i_expression > Q12_T02_cos_theta_sin > Q12_T16_144_theta_text > Q12_T01_theta_cos_sin,True
12,13,39,Q12_T04_largest_part_possible > Q12_T01_theta_cos_sin > Q12_T16_144_theta_text > Q12_T01_theta_cos_sin,True
