token,num_sections,keywords
Q64_T01_equation_given_sin,6,"equation, given, sin, comparison"
Q64_T02_sin_frac_substitute,5,"sin, frac, substitute, now, dots, 128, recall, back"
Q64_T03_using_complex_exponentials,5,"using, complex, exponentials, method, theorem, moivre"
Q64_T04_method_use_can,4,"method, use, can, find, constant, value, comparing, complex"
Q64_T05_binom_binomial_using,4,"binom, binomial, using, sum, expand, now, theorem"
Q64_T06_expansion_coefficient_frac,4,"expansion, coefficient, frac, sin, thus, comparing, method, derived"
Q64_T07_specific_method_verification,4,"specific, method, verification, values, evaluating, using, points"
Q64_T08_expansion_term_coefficient,4,"expansion, term, coefficient, sin, frac, corresponds, dots, binomial"
Q64_T09_binom_term_coefficient,3,"binom, term, coefficient, cdot, text, calculate, evaluate"
Q64_T10_try_choosing_sin,3,"try, choosing, sin, isolate, value, neq, frac, cdot"
Q64_T11_can_find_sin,3,"can, find, sin, constant, equation, value, use, specific"
Q64_T12_3ix_sin_frac,3,"3ix, sin, frac, 5ix, 7ix, binom, inx"
Q64_T13_coefficients_sin_both,3,"coefficients, sin, both, comparing, coefficient, equation, given, expression"
Q64_T14_hand_sin_frac,3,"hand, sin, frac, left, substitute, recall, 128i, 128"
Q64_T15_frac_value,3,"frac, value"
Q64_T16_terms_sin_frac,2,"terms, sin, frac, recall, complex, express"
Q64_T17_128i_frac_128,2,"128i, frac, 128, cdot, first, calculate, know, sin"
Q64_T18_involving_expansion_part,2,"involving, expansion, part, supset"
Q64_T19_implies_binom_sin,2,"implies, binom, sin, frac, complex, cdot, must, sum"
Q64_T20_factor_sin_frac,2,"factor, sin, frac, left, right, out, 128"
Q64_T21_states_problem_sin,2,"states, problem, sin"
Q64_T22_sines_angles_lhs,2,"sines, angles, lhs, sin, consider, 128, sqrt"
Q64_T23_5ix_terms_3ix,2,"5ix, terms, 3ix, 7ix, binom, list, positive, group"
Q64_T24_interested_implies_term,1,"interested, implies, term, corresponds, sin, inx"
Q64_T25_alternative_try_check,1,"alternative, try, check, lhs, sin, using"
Q64_T26_form_terms_exponents,1,"form, terms, exponents, sin, inx, sum"
Q64_T27_binom_term_specifically,1,"binom, term, specifically, sin, cdot, look"
Q64_T28_which_term_frequency,1,"which, term, frequency, similarly, cdot, comes"
Q64_T29_since_back_sin,1,"since, back, sin, frac, have, substituting"
Q64_T30_rightarrow_instead_binom,1,"rightarrow, instead, binom, use, sin, frac"
Q64_T31_result_coefficient_confirms,1,"result, coefficient, confirms, previous, frac"
Q64_T32_immediately_doesn_try,1,"immediately, doesn, try, sin, frac, isolate"
Q64_T33_evaluating_use_can,1,"evaluating, use, can, equation, given, sin"
Q64_T34_differentiate_specific_higher,1,"differentiate, specific, higher, order, equation, sin"
Q64_T35_binom_write_i3x,1,"binom, write, i3x, i5x, i7x, out"
Q64_T36_terms_i3x_group,1,"terms, i3x, group, i5x, inx, i7x"
Q64_T37_substitute_now_i3x,1,"substitute, now, i3x, i5x, sin, i7x"
Q64_T38_since_sin_frac,1,"since, sin, frac, inx, 128, left"
Q64_T39_distribute_sin_frac,1,"distribute, sin, frac"
Q64_T40_form_comparison_given,1,"form, comparison, given"
Q64_T41_setting_since_term,1,"setting, since, term, terms, sin, approx"
Q64_T42_holds_calculation,1,"holds, calculation"
Q64_T43_answer_final_seems,1,"answer, final, seems, frac"
Q64_T44_term_method_coefficient,1,"term, method, coefficient, sin, using, linear"
Q64_T45_expression_can_sin,1,"expression, can, sin, binomial, using, expanded"
Q64_T46_binom_method_coefficient,1,"binom, method, coefficient, sin, frac, formula"
Q64_T47_term_frequency_corresponds,1,"term, frequency, corresponds, sin, frac"
Q64_T48_since_128i_frac,1,"since, 128i, frac, 128, have, cdot"
Q64_T49_substitute_3ix_now,1,"substitute, 3ix, now, sin, 5ix, 7ix"
Q64_T50_implies_which_sin,1,"implies, which, sin, frac, inx, recall"
Q64_T51_small_term_alternative,1,"small, term, alternative, lhs, sin, approx"
Q64_T52_evaluating_frac_try,1,"evaluating, frac, try, rhs, lhs, sin"
Q64_T53_expansion_term_power,1,"expansion, term, power, sin, frac, 128"
Q64_T54_35z_expand_21z,1,"35z, expand, 21z, binom, now, sum"
Q64_T55_35z_21z_conjugate,1,"35z, 21z, conjugate, terms, sin, grouping"
Q64_T56_form_frac_can,1,"form, frac, can, given, sin, comparing"
Q64_T57_specific_evaluating_point,1,"specific, evaluating, point, method"
Q64_T58_can_also_find,1,"can, also, find, sin, frac, cdot"
Q64_T59_unknowns_implies_need,1,"unknowns, implies, need, more, involves, multiple"
Q64_T60_confirms_method_result,1,"confirms, method, result"
