"question_id","sample_id","attempt_index","is_correct","tokenized_trace"
"1","0","0","False","analyze | derive-intermediate | apply-formula | compute | conclude"
"1","1","1","False","analyze | derive-intermediate | apply-formula | compute | conclude"
"1","2","2","False","analyze | derive-intermediate | apply-formula | compute | conclude"
"1","3","4","False","analyze | derive-intermediate | apply-formula | compute | conclude"
"1","4","3","False","analyze | guess"
"1","5","5","False","analyze | apply-formula | compute | conclude"
"1","6","6","True","analyze | derive-intermediate | case-split | apply-formula | compute | conclude"
"1","7","7","False","analyze | guess"
"1","8","8","False","analyze | case-split | apply-formula | compute | conclude"
"1","9","9","False","analyze | derive-intermediate | apply-formula | compute | conclude"
"1","10","10","True","analyze | derive-intermediate | apply-formula | compute | check-constraint | conclude"
"1","11","12","False","analyze | derive-intermediate | apply-formula | compute | conclude"
"1","12","13","False","analyze | derive-intermediate | apply-formula | compute | conclude"
"1","13","14","True","analyze | derive-intermediate | case-split | apply-formula | compute | conclude"
"1","14","16","False","analyze | case-split | guess | conclude"
"1","15","15","False","guess"
"1","16","17","False","analyze | case-split | compute | compare | conclude"
"1","17","19","False","analyze | guess"
"1","18","20","False","analyze | case-split | apply-formula | compute | conclude"
"1","19","21","False","analyze | case-split | guess | conclude"
"1","20","24","False","analyze | derive-intermediate | apply-formula | compute | conclude"
"1","21","22","False","analyze | guess"
"1","22","23","False","analyze | guess"
"1","23","25","False","analyze | derive-intermediate | apply-formula | compute | conclude"
"1","24","28","False","analyze | derive-intermediate | apply-formula | compute | conclude"
"1","25","29","False","analyze | derive-intermediate | apply-formula | compute | conclude"
"1","26","30","True","analyze | derive-intermediate | case-split | apply-formula | compute | conclude"
"1","27","32","False","analyze | derive-intermediate | apply-formula | compute | conclude"
"1","28","31","False","analyze | guess"
"1","29","33","False","analyze | case-split | apply-formula | compute | conclude"
